ISIN,Issue date,Maturity Date,Coupon,6-Jan,7-Jan,8-Jan,9-Jan,10-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan
CA135087K528,10/11/2019,2025-03-01,0.0125,99.73,99.73,99.74,99.73,99.74,99.73,99.73,99.77,99.78,99.8
CA135087K940,4/3/2020,2025-09-01,0.005,98.4,98.41,98.4,98.42,98.37,98.36,98.36,98.4,98.47,98.5
CA135087L518,10/9/2020,2026-03-01,0.0025,96.99,96.98,96.97,97.0,96.9,96.91,96.8,96.9,97.01,97.06
CA135087L930,4/16/2021,2026-09-01,0.01,97.01,96.99,97.0,97.03,96.86,96.77,96.71,96.85,97.03,97.07
CA135087M847,10/15/2021,2027-03-01,0.0125,96.62,96.59,96.58,96.63,96.39,96.28,96.19,96.36,96.6,96.64
CA135087N837,5/13/202,2027-09-01,0.0275,99.63,99.56,99.54,99.58,99.27,99.13,99.02,99.2,99.5,99.53
CA135087P576,10/21/2022,2028-03-01,0.035,101.82,101.82,101.7,101.72,101.52,101.26,101.02,101.24,101.58,101.65
CA135087Q491,4/21/2023,2028-09-01,0.0325,101.1,101.14,100.99,100.94,100.79,100.49,100.19,100.42,100.92,101.02
CA135087Q988,10/13/2023,2029-03-01,0.04,104.07,104.01,103.9,103.87,103.53,103.29,102.99,103.24,103.8,103.9
CA135087R895,4/8/2024,2029-09-01,0.035,102.22,102.14,102.04,101.98,101.59,101.28,101.0,101.27,101.85,101.97
CA135087S471,10/3/2024,2030-03-01,0.0275,98.81,98.58,98.53,98.53,97.98,97.61,97.39,97.78,98.39,98.47
